"","p","r","n","b","q"
"45",0.754904040469467,0.873630074876286,0.46691452703578,0.561552711350623,0.727161437417416
"46",0.749578982822499,0.862842319351245,0.456829546337798,0.551390004404487,0.71721895484105
"47",0.7442968365417,0.851960644609685,0.447369614218722,0.541583542762391,0.707004430396145
"48",0.739161236624608,0.840897608622432,0.438440811462031,0.532016737052103,0.697165582817317
"49",0.733992441122367,0.829711506075602,0.429868254009379,0.522530896183641,0.687521050858875
"50",0.728927280617665,0.818839547115061,0.42143495608467,0.513838510765085,0.67747493328497
"51",0.723893696401275,0.808152187993886,0.413772443454154,0.505541233774646,0.667597222582066
"52",0.718931361245693,0.797202502785191,0.406378734098505,0.497775086146592,0.658159960618701
"53",0.713912350700832,0.786337021011996,0.399671606601549,0.489824338679172,0.649072466772029
"54",0.709064175972226,0.775536311112263,0.392974194885613,0.482174780423349,0.640179288545742
"55",0.704229765266731,0.765169572764723,0.386474337383734,0.474920330595642,0.631273155944763
"56",0.699471461512553,0.754971241288183,0.380013343005933,0.46824882762909,0.622606679275591
"57",0.694758498069798,0.74515830245874,0.37408671658419,0.461813742000674,0.614354742596575
"58",0.690101400367904,0.73552672487499,0.368396507500583,0.455725185895277,0.606737570277483
"59",0.685480736844832,0.725976112133067,0.363046350752649,0.449788843692515,0.599224032955929
"60",0.680962089022463,0.716555043138068,0.357712386973081,0.444124543358292,0.591444930953183
"61",0.676451537684276,0.707525843977511,0.352705521154494,0.43853473067855,0.583678783325129
"62",0.672054337124647,0.698807549809571,0.348100240951369,0.433414514081405,0.576223540689691
"63",0.66769842863435,0.690471409695054,0.343611550120476,0.428420602637511,0.569357722102754
"64",0.663337662253543,0.682682591911288,0.339197346944063,0.42372464181154,0.562576106951317
"65",0.659015758996813,0.675353654429101,0.335013083918439,0.419248905355338,0.55584630929865
"66",0.654768343394564,0.668238464129337,0.331068476824624,0.414948052957484,0.549770707567946
"67",0.650646423297147,0.661314350856284,0.327344094100578,0.410750835557168,0.54401896520455
"68",0.646584417182683,0.654704381169521,0.323975956680571,0.40679327408866,0.538435629712154
"69",0.642603375910045,0.648165660543566,0.320656398165661,0.403188719330518,0.532742182034873
"70",0.638721921392854,0.641941083503899,0.317242920434231,0.399603596134415,0.527372593724901
"71",0.634844515117755,0.635949685208695,0.314172733632148,0.396329377930927,0.522326864782237
"72",0.631100700831671,0.630129932378164,0.311128455579449,0.39326566831619,0.517566132082804
"73",0.627403036505428,0.624559551260461,0.308469570173848,0.390172811358396,0.512967329067026
"74",0.623786337021012,0.619040987641527,0.305781537425188,0.387251599865275,0.508387957613286
"75",0.620095149882115,0.614128041039459,0.302895950462471,0.384414591807653,0.503873358033008
"76",0.616541602974324,0.609367308340026,0.300460528020312,0.381687695934917,0.499812161566961
"77",0.612996962199135,0.604765266730575,0.298141694950385,0.379090343809104,0.495828691349069
"78",0.609577007280359,0.600419074021297,0.295916781096976,0.376612819649196,0.492246806746638
"79",0.606216966344535,0.596267196932404,0.293704821618261,0.374248646267845,0.488846283389901
"80",0.602831016659326,0.59213475140555,0.29163536026116,0.372001062258725,0.485426328471125
"81",0.599489597637122,0.588284063528253,0.289682488276291,0.369860351840817,0.481980464802964
"82",0.596267196932404,0.584520817680131,0.287862398632018,0.367677539705158,0.478761302691919
"83",0.593116854936912,0.580968080420758,0.286071456330803,0.365666373034174,0.475606912454336
"84",0.590124394382983,0.577797497214809,0.284286991216934,0.363648729175843,0.472471953778791
"85",0.587110073321761,0.574691685882322,0.282628831256315,0.36178653781382,0.469570173847708
"86",0.584125709252014,0.571615021892893,0.281038681762831,0.360105707697489,0.466849755162318
"87",0.581178589009508,0.568719719149157,0.27954569007954,0.358441070549525,0.464103427727544
"88",0.578320530093012,0.56600253905744,0.278149856206441,0.356876829805425,0.461460735290308
"89",0.575558009689872,0.563340415058165,0.276770215301707,0.355377360934788,0.458973495349379
"90",0.572889408503252,0.560684768246237,0.275474777832474,0.353868176283131,0.456641707904759
"91",0.570262909034381,0.558113324869809,0.274185817550587,0.352514444127782,0.454309920460139
"92",0.567731948078866,0.555749151488458,0.272922766018084,0.351309687281395,0.452276083633443
"93",0.565228515169573,0.553595486695857,0.271747156514755,0.350049874342565,0.450559628986709
"94",0.562787425188486,0.551409435966526,0.270646034665907,0.348887219213929,0.448830219965282
"95",0.56036009923051,0.549294634298002,0.269499572505635,0.347698655335907,0.447100810943856
"96",0.558016167059616,0.547390341218229,0.268414643625152,0.346477705521154,0.445274244112237
"97",0.555781537425188,0.545375935953571,0.267501360209343,0.345415446796383,0.443441200093271
"98",0.553581722672747,0.543542891934606,0.266523304920072,0.344259268855092,0.441808948882037
"99",0.551410245614944,0.541839391662564,0.265538772443454,0.343197010130321,0.440209083607534
"100",0.549406365779724,0.540045210767676,0.26468378371376,0.342112081249838,0.438673990206493
"101",0.547396008757157,0.538293131590538,0.263841749358758,0.341143741741586,0.437035261807913
"102",0.545500621809985,0.536664118972977,0.263054771096199,0.340304945980258,0.435493691219525
"103",0.543623047128015,0.535099878228878,0.262329326113429,0.339449957250564,0.433971552193176
"104",0.541804576780579,0.533580977796202,0.261561779412908,0.33859496852087,0.432611342850481
"105",0.540069500220224,0.532110656268622,0.260842811617483,0.337769127134233,0.431257610695132
"106",0.538324707878851,0.530705106614504,0.260159468352463,0.33703072777677,0.429897401352437
"107",0.536613111122626,0.529344897271809,0.259469647900096,0.336298805606653,0.42864082700728
"108",0.53498652745032,0.528023551053191,0.258876985257922,0.335608985154287,0.427403684224162
"109",0.533436050729331,0.526779931082727,0.258200119180247,0.334822006891727,0.426257222063891
"110",0.53195682306915,0.525588128611032,0.257662512630515,0.334128947845687,0.425182008964427
"111",0.530458973495349,0.524496722543203,0.257063372800995,0.333452081768013,0.42406145555354
"112",0.529012131771899,0.52336969194497,0.256499857501878,0.332872373500531,0.422966810892038
"113",0.527618726844055,0.522291240251833,0.255959012358473,0.332218177578568,0.421885120605228
"114",0.526332195507423,0.521183641215639,0.255421405808742,0.331648185092106,0.42092001969065
"115",0.525021374718242,0.520221778894733,0.254951809726145,0.331078192605643,0.420058553773609
"116",0.523786660880379,0.519201621887711,0.254511360986605,0.330511438712853,0.419216519418608
"117",0.522617528564396,0.518236520973133,0.25402233334197,0.329944684820064,0.41831619037749
"118",0.521474304997798,0.517336191932015,0.253565691634065,0.329475088737467,0.417325180713527
"119",0.520340797212219,0.516452055859264,0.253128481488199,0.329024924216908,0.416308262300179
"120",0.519322259502034,0.515574396973858,0.252642692437236,0.328539135165946,0.415323729823561
"121",0.518315866518123,0.514706453869472,0.252254061196466,0.328072777677022,0.414378060471021
"122",0.517400963805477,0.513844987952431,0.251868668549369,0.327606420188098,0.413477731429904
"123",0.516490918983341,0.512964090473353,0.251395833873099,0.327198357385289,0.412752286447133
"124",0.515537962795036,0.512245122677928,0.251000725444983,0.326803248957173,0.411903774904785
"125",0.514630346918154,0.511432235665984,0.250605617016867,0.32641137912273,0.411217193046092
"126",0.513786693266316,0.510700313495868,0.250275280462212,0.326003316319921,0.410446407751898
